,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-1399.9560000000001,2024-05-19 20:57:40.354361,2024-05-19 21:26:47.306113,0 days 00:29:06.951752,tanh,32,0.2,2.361295670498638e-07,0.92,0.9,0.00013051753174175243,1.0,20,32,medium,0.4176125365288641,COMPLETE
1,1,-500.01000000000005,2024-05-19 20:57:40.355360,2024-05-19 21:19:42.048654,0 days 00:22:01.693294,relu,64,0.3,2.4668547344832306e-08,0.98,0.99,0.0007322414125707635,1.0,5,512,medium,0.818494280548636,COMPLETE
2,2,-500.006,2024-05-19 20:57:40.358251,2024-05-19 21:36:22.480288,0 days 00:38:42.122037,relu,32,0.3,4.2195052095530504e-05,0.95,0.95,0.684040745080745,2.0,10,1024,medium,0.23923781801300248,COMPLETE
3,3,-500.01000000000005,2024-05-19 20:57:40.361049,2024-05-19 21:56:20.967528,0 days 00:58:40.606479,tanh,8,0.4,7.567935031985721e-05,0.98,0.98,3.990607499455221e-05,2.0,20,64,tiny,0.9443429620751904,COMPLETE
4,4,-10297.74,2024-05-19 20:57:40.377869,2024-05-19 21:38:00.957933,0 days 00:40:20.580064,relu,64,0.2,6.057782651352322e-07,0.92,0.999,0.0003960204868222327,0.6,20,16,tiny,0.8215197425266553,COMPLETE
5,5,-500.01000000000005,2024-05-19 20:57:40.391604,2024-05-19 21:22:33.657717,0 days 00:24:53.266113,relu,128,0.3,9.385859221774489e-05,0.99,0.9,5.10654387213698e-05,0.3,10,1024,medium,0.32519671416211315,COMPLETE
6,6,-500.01000000000005,2024-05-19 20:57:40.391604,2024-05-19 21:33:36.576526,0 days 00:35:56.184922,tanh,32,0.2,1.2187786674204943e-08,0.95,0.9,0.03200627206082055,2.0,20,256,medium,0.619710831669314,COMPLETE
7,7,-500.006,2024-05-19 20:57:40.391604,2024-05-19 21:15:25.339754,0 days 00:17:44.948150,relu,512,0.4,2.809315303324711e-07,0.98,0.999,2.5590196366282705e-05,5.0,20,512,medium,0.7340127228702732,COMPLETE
8,8,-500.01000000000005,2024-05-19 21:15:25.345567,2024-05-19 21:41:55.720168,0 days 00:26:30.374601,tanh,128,0.2,6.8753255715638e-07,1.0,0.9999,0.00457076977639972,0.9,10,32,small,0.8329831586117733,COMPLETE
9,9,-500.01000000000005,2024-05-19 21:19:42.048654,2024-05-19 21:40:00.168378,0 days 00:20:18.119724,tanh,128,0.1,0.07716823388020969,0.98,0.95,0.0002707589044395083,0.6,5,1024,small,0.7389003645199078,COMPLETE
10,10,-500.01000000000005,2024-05-19 21:22:33.659716,2024-05-19 21:58:20.401457,0 days 00:35:46.741741,tanh,16,0.4,0.0003752089202217444,0.98,0.9,0.04107053821892784,2.0,20,64,medium,0.10025685104315574,COMPLETE
11,11,-500.01000000000005,2024-05-19 21:26:47.306113,2024-05-19 21:48:04.688422,0 days 00:21:17.382309,relu,16,0.3,0.00927849792614215,1.0,0.95,0.3058972390446064,5.0,5,16,tiny,0.5598392656261566,COMPLETE
12,12,-500.01000000000005,2024-05-19 21:33:36.576526,2024-05-19 21:49:57.092193,0 days 00:16:20.515667,tanh,256,0.4,0.00025864556808325166,0.99,0.98,0.00027028310852934476,0.6,10,256,medium,0.7139875529403266,COMPLETE
13,13,-500.01000000000005,2024-05-19 21:36:22.480288,2024-05-19 22:00:43.789728,0 days 00:24:21.309440,relu,32,0.3,0.0003638551048557865,0.95,0.95,0.0012592879172174803,2.0,20,16,medium,0.17036547005998504,COMPLETE
14,14,-500.01000000000005,2024-05-19 21:38:00.959467,2024-05-19 21:52:39.125722,0 days 00:14:38.166255,relu,128,0.3,0.00031166463439042633,0.98,0.9999,0.1954861235012351,0.6,5,1024,medium,0.7572424081005661,COMPLETE
